net,length_um
clknet_0_clk,813.72
_10295_,783.03
_10311_,730.91
_10316_,718.45
_10321_,717.54
_10327_,711.74
net134,684.52
_09243_,684.24
_09543_,678.48
_09775_,646.39
_11782_,644.96
net144,640.08
_10303_,638.69
_10333_,629.35
net111,629.32
_10261_,624.05
_12369_,603.71
net147,599.79
net149,597.14
_09189_,594.72
_09500_,592.55
_09378_,588.25
net117,587.2
clk,586.11
_10281_,583.69
_14103_,578.855
net142,577.815
_11450_,575.6
_10465_,573.75
_10008_,570.89
_09923_,568.64
net301,568.32
_08954_,565.15
net108,562.74
net389,562.38
_05353_,560.95
net302,553.835
_05310_,550.46
_08956_,550.44
_10886_,549.685
net136,549.22
net304,547.74
net103,546.8
net119,546.44
net102,545.14
net99,544.74
_08970_,544.56
_05335_,542.65
net123,539.88
_10338_,537.82
net384,533.72
_01693_,526.67
net154,523.32
clknet_4_5__leaf_clk,522.04
_12238_,521.38
_09103_,518.62
net141,517.2
net276,516.9
_12846_,514.48
_10947_,513.3
_05319_,513.1
clknet_4_14__leaf_clk,512.52
_11737_,510.59
net275,510.38
_12451_,509.33
_12579_,506.4
clknet_4_4__leaf_clk,498.28
_11674_,497.64
_14573_,497.58
net299,497.46
net300,493.22
net139,492.98
_05345_,492.66
_08458_,491.07
_01521_,490.8
_08982_,488.19
_10417_,485.22
_10364_,480.79
_12999_,474.11
net148,473.74
_00082_,473.655
_09132_,471.91
_12634_,470.46
_11078_,470.29
_11207_,467.89
_10357_,466.15
clknet_4_15__leaf_clk,465.57
genblk1.pcpi_mul.rd\[55\],464.02
_11366_,463.56
net145,461.58
_10351_,461.57
_10344_,460.605
net138,456.92
clknet_4_1__leaf_clk,456.44
_10440_,455.95
_11541_,455.35
_11993_,455.05
decoded_imm_uj\[19\],454.47
net311,453.51
genblk1.pcpi_mul.rd\[49\],451.26
genblk1.pcpi_mul.rd\[50\],450.76
genblk1.pcpi_mul.rd\[59\],450.04
genblk1.pcpi_mul.rd\[60\],450
net110,449.32
genblk1.pcpi_mul.rd\[53\],448.86
_05284_,448.62
_10406_,448.12
_11908_,446.98
net100,446.94
_11276_,446.625
_09096_,446.27
_08754_,444.32
_12247_,443.88
_08370_,443.26
_05328_,442.92
_08973_,442.67
net133,442.6
_08881_,441.79
_09025_,440.78
genblk1.pcpi_mul.rd\[61\],439.86
_09037_,438.74
_01682_,436.88
net291,436.5
net269,436.42
decoded_imm_uj\[11\],435.71
genblk1.pcpi_mul.rd\[48\],431.74
_09398_,431.58
_00084_,431.38
_05294_,430.2
_11373_,428.955
_12242_,427.93
_08885_,427.35
_10428_,426.73
genblk1.pcpi_mul.rd\[54\],426.3
_10386_,425.5
_12373_,425.46
_08333_,424.7
_08939_,424.69
_10371_,424.38
_01628_,423.395
_10422_,422.28
genblk1.pcpi_mul.rd\[52\],422.22
decoded_imm_uj\[4\],421.95
genblk1.pcpi_mul.rd\[63\],421.9
_08298_,421.4
_12530_,420.21
net297,420.06
net281,417.94
genblk1.pcpi_mul.rd\[58\],417.6
clknet_4_11__leaf_clk,416.19
_09656_,414.81
_10925_,414.75
_08874_,414.58
genblk1.pcpi_mul.rd\[62\],414.5
_05362_,414.03
_10312_,413.64
net309,413.16
_11664_,412.99
clknet_4_3__leaf_clk,412.56
_10263_,412.11
_11678_,412.02
_10377_,411.93
genblk1.pcpi_mul.rd\[56\],411.77
decoded_imm_uj\[18\],411.74
_08291_,411.72
net307,409.42
_05906_,409.38
_12365_,409.12
_08471_,409.03
_10434_,407.78
_11167_,406.97
_08873_,406.1
_09419_,405.55
_08539_,405.18
decoded_imm_uj\[17\],405.11
_08918_,404.74
_09549_,404.34
net120,403.88
_09028_,403.18
clknet_4_12__leaf_clk,402.88
clknet_4_0__leaf_clk,402.47
_09016_,401.88
_09572_,400.68
_13788_,400.48
net113,399.66
genblk1.pcpi_mul.rs1\[24\],399.47
_09529_,399.35
decoded_imm_uj\[3\],399
net320,398.72
net322,398.25
_08528_,397.5
_08865_,397.49
_08821_,397.48
net308,397.45
net239,397.3
_09576_,396.64
_05276_,396.38
_00083_,396.055
_05403_,395.93
clknet_4_7__leaf_clk,395.88
_08898_,395.25
_05267_,394.84
decoded_imm_uj\[15\],394.23
_06351_,394.14
_05824_,393.68
genblk1.pcpi_mul.rd\[57\],392.575
_08550_,391.74
_08715_,391.27
_08942_,390.99
_09562_,390.23
_10452_,390.06
_08021_,389.64
_08556_,388.18
_12446_,385.65
_11302_,385.635
_08768_,385.57
_13590_,385.56
clknet_4_13__leaf_clk,385.43
genblk1.pcpi_mul.rs1\[26\],385.16
_12889_,384.64
_11279_,384.47
_11500_,384.35
net312,384.31
_10322_,383.4
_14418_,383.32
genblk1.pcpi_mul.rs1\[29\],382.82
_10382_,382.78
_05111_,382.75
_01873_,382.6
clknet_4_6__leaf_clk,381.94
_10458_,381.16
clknet_4_2__leaf_clk,380.02
_11448_,379.885
_12377_,378.94
_11388_,378.43
_12068_,378.4
_09973_,378.18
_12111_,377.85
_12245_,377.8
net238,377.2
decoded_imm_uj\[16\],377.12
_06231_,377.06
_05371_,376.86
_05411_,376.62
_08786_,375.38
net313,375.3
_12244_,375.27
_08966_,374.955
_12709_,374.21
_11425_,373.83
_09508_,373.62
_10345_,373.6
_05379_,373.08
net295,372.8
_08977_,372.4
_11845_,371.51
_12119_,371.39
